Subject;Predicate;Value
Tokyo;hasc;JP.TK
Tokyo;confirmed;5369
Tokyo;death;311
Tokyo;recovered;4695
Osaka;hasc;JP.OS
Osaka;confirmed;1784
Osaka;death;84
Osaka;recovered;1628
Kanagawa;hasc;JP.KN
Kanagawa;confirmed;1387
Kanagawa;death;87
Kanagawa;recovered;1163
Hokkaido;hasc;JP.HK
Hokkaido;confirmed;1109
Hokkaido;death;90
Hokkaido;recovered;863
Saitama;hasc;JP.ST
Saitama;confirmed;1007
Saitama;death;51
Saitama;recovered;920
Chiba;hasc;JP.CH
Chiba;confirmed;904
Chiba;death;45
Chiba;recovered;839
Fukuoka;hasc;JP.FO
Fukuoka;confirmed;797
Fukuoka;death;27
Fukuoka;recovered;641
Hyogo;hasc;JP.HG
Hyogo;confirmed;699
Hyogo;death;42
Hyogo;recovered;652
Aichi;hasc;JP.AI
Aichi;confirmed;509
Aichi;death;34
Aichi;recovered;463
Kyoto;hasc;JP.KY
Kyoto;confirmed;358
Kyoto;death;18
Kyoto;recovered;332
Ishikawa;hasc;JP.IS
Ishikawa;confirmed;299
Ishikawa;death;27
Ishikawa;recovered;237
Toyama;hasc;JP.TY
Toyama;confirmed;227
Toyama;death;22
Toyama;recovered;198
Hiroshima;hasc;JP.HS
Hiroshima;confirmed;168
Hiroshima;death;3
Hiroshima;recovered;162
Ibaraki;hasc;JP.IB
Ibaraki;confirmed;168
Ibaraki;death;10
Ibaraki;recovered;155
Gunma;hasc;JP.GM
Gunma;confirmed;151
Gunma;death;19
Gunma;recovered;123
Gifu;hasc;JP.GF
Gifu;confirmed;151
Gifu;death;7
Gifu;recovered;142
Okinawa;hasc;JP.ON
Okinawa;confirmed;142
Okinawa;death;7
Okinawa;recovered;137
Fukui;hasc;JP.FI
Fukui;confirmed;122
Fukui;death;8
Fukui;recovered;113
Shiga;hasc;JP.SH
Shiga;confirmed;100
Shiga;death;1
Shiga;recovered;97
Nara;hasc;JP.NR
Nara;confirmed;92
Nara;death;2
Nara;recovered;89
Miyagi;hasc;JP.MG
Miyagi;confirmed;88
Miyagi;death;1
Miyagi;recovered;87
Niigata;hasc;JP.NI
Niigata;confirmed;83
Niigata;death;0
Niigata;recovered;81
Ehime;hasc;JP.EH
Ehime;confirmed;82
Ehime;death;4
Ehime;recovered;60
Fukushima;hasc;JP.FS
Fukushima;confirmed;81
Fukushima;death;0
Fukushima;recovered;78
Nagano;hasc;JP.NN
Nagano;confirmed;76
Nagano;death;0
Nagano;recovered;71
Shizuoka;hasc;JP.SZ
Shizuoka;confirmed;75
Shizuoka;death;1
Shizuoka;recovered;72
Kochi;hasc;JP.KC
Kochi;confirmed;74
Kochi;death;3
Kochi;recovered;71
Yamagata;hasc;JP.YT
Yamagata;confirmed;69
Yamagata;death;0
Yamagata;recovered;67
Tochigi;hasc;JP.TC
Tochigi;confirmed;66
Tochigi;death;0
Tochigi;recovered;60
Yamanashi;hasc;JP.YN
Yamanashi;confirmed;65
Yamanashi;death;1
Yamanashi;recovered;62
Wakayama;hasc;JP.WK
Wakayama;confirmed;63
Wakayama;death;3
Wakayama;recovered;60
Oita;hasc;JP.OT
Oita;confirmed;60
Oita;death;1
Oita;recovered;58
Kumamoto;hasc;JP.KM
Kumamoto;confirmed;48
Kumamoto;death;3
Kumamoto;recovered;44
Saga;hasc;JP.SG
Saga;confirmed;47
Saga;death;0
Saga;recovered;45
Mie;hasc;JP.ME
Mie;confirmed;45
Mie;death;1
Mie;recovered;44
Yamaguchi;hasc;JP.YC
Yamaguchi;confirmed;37
Yamaguchi;death;0
Yamaguchi;recovered;36
Kagawa;hasc;JP.KG
Kagawa;confirmed;28
Kagawa;death;0
Kagawa;recovered;28
Aomori;hasc;JP.AO
Aomori;confirmed;27
Aomori;death;1
Aomori;recovered;26
Okayama;hasc;JP.OY
Okayama;confirmed;25
Okayama;death;0
Okayama;recovered;25
Shimane;hasc;JP.SM
Shimane;confirmed;24
Shimane;death;0
Shimane;recovered;23
Nagasaki;hasc;JP.NS
Nagasaki;confirmed;17
Nagasaki;death;1
Nagasaki;recovered;16
Miyazaki;hasc;JP.MZ
Miyazaki;confirmed;17
Miyazaki;death;0
Miyazaki;recovered;17
Akita;hasc;JP.AK
Akita;confirmed;16
Akita;death;0
Akita;recovered;16
Kagoshima;hasc;JP.KS
Kagoshima;confirmed;10
Kagoshima;death;0
Kagoshima;recovered;10
Tokushima;hasc;JP.TS
Tokushima;confirmed;5
Tokushima;death;1
Tokushima;recovered;4
Tottori;hasc;JP.TT
Tottori;confirmed;3
Tottori;death;0
Tottori;recovered;3
Iwate;hasc;JP.IW
Iwate;confirmed;0
Iwate;death;0
Iwate;recovered;0
