estado;hasc;data;populacaoTCU2019;confirmed;death;Recuperadosnovos;emAcompanhamentoNovos
Rondônia;BR.RO;2020-06-06;1777225;7700;228;;
Acre;BR.AC;2020-06-06;881935;7525;201;;
Amazonas;BR.AM;2020-06-06;4144597;48785;2232;;
Roraima;BR.RR;2020-06-06;605761;5238;139;;
Pará;BR.PA;2020-06-06;8602865;53176;3612;;
Amapá;BR.AP;2020-06-06;845731;12773;269;;
Tocantins;BR.TO;2020-06-06;1572866;5505;96;;
Maranhão;BR.MA;2020-06-06;7075181;45470;1132;;
Piauí;BR.PI;2020-06-06;3273227;7105;224;;
Ceará;BR.CE;2020-06-06;9132078;63575;3965;;
Rio Grande do Norte;BR.RN;2020-06-06;3506853;9449;410;;
Paraíba;BR.PB;2020-06-06;4018127;19787;467;;
Pernambuco;BR.PE;2020-06-06;9557071;39361;3270;;
Alagoas;BR.AL;2020-06-06;3337357;14818;582;;
Sergipe;BR.SE;2020-06-06;2298696;8972;208;;
Bahia;BR.BA;2020-06-06;14873064;27396;846;;
Minas Gerais;BR.MG;2020-06-06;21168791;14939;368;;
Espirito Santo;BR.ES;2020-06-06;4018650;18950;806;;
Rio de Janeiro;BR.RJ;2020-06-06;17264943;64533;6639;;
São Paulo;BR.SP;2020-06-06;45919049;140549;9058;;
Paraná;BR.PR;2020-06-06;11433957;6605;232;;
Santa Catarina;BR.SC;2020-06-06;7164788;11285;166;;
Rio Grande do Sul;BR.RS;2020-06-06;11377239;12037;283;;
Mato Grosso do Sul;BR.MS;2020-06-06;2778986;2132;21;;
Mato Grosso;BR.MT;2020-06-06;3484466;3662;96;;
Goiás;BR.GO;2020-06-06;7018354;5669;172;;
Distrito Federal;BR.DF;2020-06-06;3015268;15850;208;;
